size,config,feasible,objective,runtime_min,diff_pct,winner
50,Rank 1,10/10,1487.4959872585275,0.2673313899834951,,
50,Rank 2,10/10,1497.1506854270126,0.22872927228609718,-0.6448715057517007,TIE
100,Rank 1,10/10,3870.539983867122,0.39932863036791477,,
100,Rank 2,10/10,3888.1400715909085,0.46802729249000546,-0.45266084553855024,TIE
200,Rank 1,10/10,10946.815682079949,0.440796492099762,,
200,Rank 2,10/10,10945.155094359114,2.1945978359381355,0.0151718975795118,TIE
500,Rank 1,10/10,41523.26433038844,3.1184416405359903,,
500,Rank 2,10/10,41354.20902949483,5.395325015783309,0.4087982937191156,TIE
1000,Rank 1,10/10,112907.73859366037,15.057741645574566,,
1000,Rank 2,10/10,113461.81083413439,15.067626097202302,-0.4883336837308196,TIE
2000,Rank 1,10/10,312371.41317792377,10.379034614165624,,
2000,Rank 2,10/10,313833.0542533336,10.655024800697962,-0.46573840951436574,TIE
5000,Rank 1,10/10,1191414.8000322457,10.951317984660466,,
5000,Rank 2,10/10,1202815.9062384744,12.177766140699385,-0.9478679278430078,TIE
